ParentTopic,ComparedToTopic,IndexofSimilarity
1,2,0.016962193158669005
1,3,0.09180543767987143
1,4,0.0
1,5,0.0
1,6,0.0261945604672485
1,7,0.0
1,8,0.014967142505933399
1,9,0.01974435511885983
1,10,0.02152768218546322
1,11,0.17750973594613353
1,12,0.05623309029603349
1,13,0.013592357627263468
1,14,0.2232862342830294
1,15,0.046026492342437345
1,16,0.11431938813573743
1,17,0.08312013974592133
1,18,0.4501160837939822
1,19,0.029735854128410566
1,20,0.1888149846183692
1,21,0.0
1,22,0.03209691445045114
1,23,0.017165304383220864
1,24,0.11971588969741816
1,25,0.04046471497574469
1,26,0.0884153197050102
1,27,0.04255955200129592
1,28,0.2319321979464316
1,29,0.10613812405473176
1,30,0.0760352421777578
1,31,0.03003348539117916
1,32,0.04319614714119989
1,33,0.03771234060813963
1,34,0.007484661448971535
1,35,0.03803335895411071
1,36,0.14908318114485003
1,37,0.044778491014624576
1,38,0.0
1,39,0.02239472188508978
1,40,0.024078055187872614
1,41,0.025171050386396072
1,42,0.0
1,43,0.05784612078575885
1,44,0.02028436458927324
1,45,0.07211154669291693
1,46,0.08169305865692643
1,47,0.010905839941490823
1,48,0.02399448057738243
1,49,0.007393143537215597
1,50,0.06385287932765155
1,51,0.0
1,52,0.015497056366713773
1,53,0.018044075666845197
1,54,0.0
1,55,0.0
1,56,0.0
1,57,0.0
1,58,0.0
1,59,0.0
1,60,0.0
1,61,0.0
1,62,0.0
1,63,0.0
1,64,0.0
1,65,0.0
1,66,0.0
1,67,0.0
1,68,0.0
1,69,0.0
1,70,0.0
1,71,0.0
1,72,0.0
1,73,0.0
1,74,0.0
1,75,0.0
1,76,0.0
1,77,0.0
2,3,0.07886610766395712
2,4,0.25911046049934955
2,5,0.15531364705949408
2,6,0.03254180734208004
2,7,0.3189687772195987
2,8,0.2814537020827188
2,9,0.15698724722469504
2,10,0.01948664090806596
2,11,0.02884199976436808
2,12,0.044841040379321864
2,13,0.038129151761343204
2,14,0.03479054967052648
2,15,0.1376337605492876
2,16,0.11150074970074657
2,17,0.059862788231872556
2,18,0.05316153090100272
2,19,0.03164421303636128
2,20,0.05525568527240012
2,21,0.45619400863024395
2,22,0.2554127707668192
2,23,0.19368221276237693
2,24,0.03087399381910684
2,25,0.14474806739660195
2,26,0.18371942191937055
2,27,0.23207470620058135
2,28,0.2856000093131675
2,29,0.11406529341383989
2,30,0.03079184693334423
2,31,0.20305752466707427
2,32,0.20390622098343647
2,33,0.09678076342139172
2,34,0.044439068046191604
2,35,0.18697095466669567
2,36,0.02768821377557889
2,37,0.07877042133291148
2,38,0.17870745485130027
2,39,0.3049207798231162
2,40,0.0540154833999851
2,41,0.15316607728776624
2,42,0.3766865624121172
2,43,0.05893948792091443
2,44,0.49992323681345646
2,45,0.07930944881141104
2,46,0.15015129617058992
2,47,0.16015965992426115
2,48,0.18867647269627377
2,49,0.05239342296134414
2,50,0.05063204965469975
2,51,0.04692798256974413
2,52,0.003741103736769685
2,53,0.05209541063367549
2,54,0.0
2,55,0.0
2,56,0.0
2,57,0.0
2,58,0.0
2,59,0.0
2,60,0.012158409099193631
2,61,0.0
2,62,0.0
2,63,0.0
2,64,0.0
2,65,0.0
2,66,0.0
2,67,0.0
2,68,0.0
2,69,0.0
2,70,0.0
2,71,0.0
2,72,0.0
2,73,0.0
2,74,0.0
2,75,0.0
2,76,0.0
2,77,0.0
3,4,0.023276932183844374
3,5,0.008609450121847143
3,6,0.06997625868655123
3,7,0.03547748482784358
3,8,0.04762197056701582
3,9,0.030927352597560256
3,10,0.027087188663686437
3,11,0.2045458173123847
3,12,0.11419240750322905
3,13,0.14854489245947194
3,14,0.02446375475941586
3,15,0.10993620787235799
3,16,0.11284760718589007
3,17,0.04018062109259645
3,18,0.05352041202037101
3,19,0.1442126170040098
3,20,0.1089754563734975
3,21,0.15893079473604668
3,22,0.1731584087804324
3,23,0.09506333438270001
3,24,0.13392354590321706
3,25,0.21227829846699328
3,26,0.3163202820399836
3,27,0.2330269821182551
3,28,0.3080436864237622
3,29,0.039423975791258475
3,30,0.032158863325087494
3,31,0.259712629821132
3,32,0.15738459996384574
3,33,0.13308768535834511
3,34,0.23284583519303495
3,35,0.12127905718374551
3,36,0.20056947521245796
3,37,0.15239984893182543
3,38,0.13272970964902442
3,39,0.05947140881414941
3,40,0.08286434216180887
3,41,0.015802812811637024
3,42,0.06705116521969744
3,43,0.134117766604125
3,44,0.059217315057581675
3,45,0.08754731617683313
3,46,0.17438638074391152
3,47,0.0796660281102702
3,48,0.04296477809476399
3,49,0.026652159577005386
3,50,0.062126729574471976
3,51,0.014036315568407749
3,52,0.0002883308055733463
3,53,0.05904680704756841
3,54,0.02989489456334173
3,55,0.0
3,56,0.0
3,57,0.0
3,58,0.0
3,59,0.0
3,60,0.0
3,61,0.0
3,62,0.0
3,63,0.0
3,64,0.0
3,65,0.0
3,66,0.0
3,67,0.0
3,68,0.0
3,69,0.0
3,70,0.0
3,71,0.0
3,72,0.0
3,73,0.0
3,74,0.0
3,75,0.0
3,76,0.0
3,77,0.0
4,5,0.12036665975683637
4,6,0.00480766398659681
4,7,0.31497371443272254
4,8,0.30771061889799417
4,9,0.12955949386985877
4,10,0.00526709677008477
4,11,0.023170070671481413
4,12,0.16119155677823646
4,13,0.07052939425011154
4,14,0.01894809691380868
4,15,0.08780209851906291
4,16,0.06935077627519794
4,17,0.019172929017396544
4,18,0.0
4,19,0.006491172151107309
4,20,0.0
4,21,0.2597240329205592
4,22,0.0942240001506485
4,23,0.11226556332440492
4,24,0.0
4,25,0.048390955224317286
4,26,0.06870848496132537
4,27,0.13742686231010398
4,28,0.10955048102959987
4,29,0.04698930899315764
4,30,0.0
4,31,0.08447740381549317
4,32,0.07356265343764516
4,33,0.04447110749769495
4,34,0.02859972153081288
4,35,0.016295765724733652
4,36,0.0
4,37,0.023472138642803515
4,38,0.10181711382945607
4,39,0.2986056489530843
4,40,0.03254644793960676
4,41,0.05049784757873108
4,42,0.22558187513882635
4,43,0.01707402618618496
4,44,0.35903925937911235
4,45,0.014654603064698707
4,46,0.04128213562747423
4,47,0.09505417799542441
4,48,0.1091028644727748
4,49,0.014400590020092082
4,50,0.0
4,51,0.012336666429772611
4,52,0.0025544261395509913
4,53,0.018986910398545498
4,54,0.0
4,55,0.011921509152934655
4,56,0.001062741920729894
4,57,0.0
4,58,0.0
4,59,0.0
